"Bygninger og deres opvarmede areal efter anvendelse, enhed, område,"
"tid, opførelsesår og opvarmingsform"

" "," "," "," "," ","Elovne eller elpaneler","Varmepumpe"
"Parcelhuse"
" ","Kvadratmeter (1000 m2)"
" "," ","Hele landet"
" "," "," ","2025"
" "," "," "," ","Før 1900",1358,3447
" "," "," "," ","1900-1904",382,1150
" "," "," "," ","1905-1909",142,564
" "," "," "," ","1910-1914",173,715
" "," "," "," ","1915-1919",97,429
" "," "," "," ","1920-1924",149,629
" "," "," "," ","1925-1929",158,716
" "," "," "," ","1930-1934",146,732
" "," "," "," ","1935-1939",136,692
" "," "," "," ","1940-1944",86,367
" "," "," "," ","1945-1949",105,455
" "," "," "," ","1950-1954",125,633
" "," "," "," ","1955-1959",151,654
" "," "," "," ","1960-1964",304,1174
" "," "," "," ","1965-1969",303,1604
" "," "," "," ","1970-1974",1012,1938
" "," "," "," ","1975-1979",1590,1425
" "," "," "," ","1980-1984",1008,596
" "," "," "," ","1985-1989",952,449
" "," "," "," ","1990-1994",158,154
" "," "," "," ","1995-1999",91,399
" "," "," "," ","2000-2004",76,616
" "," "," "," ","2005-2009",62,1121
" "," "," "," ","2010-2014",16,1086
" "," "," "," ","2015-2019",10,1380
" "," "," "," ","2020 -",12,1992

