"Bygninger og deres opvarmede areal efter anvendelse, enhed, område,"
"tid, opførelsesår og opvarmingsform"

" "," "," "," "," ","Elovne eller elpaneler","Varmepumpe"
"Parcelhuse"
" ","Bygninger (antal)"
" "," ","Hele landet"
" "," "," ","2025"
" "," "," "," ","Før 1900",10267,19767
" "," "," "," ","1900-1904",2827,6776
" "," "," "," ","1905-1909",1021,3201
" "," "," "," ","1910-1914",1237,4063
" "," "," "," ","1915-1919",722,2434
" "," "," "," ","1920-1924",1084,3633
" "," "," "," ","1925-1929",1172,4231
" "," "," "," ","1930-1934",1126,4500
" "," "," "," ","1935-1939",1052,4462
" "," "," "," ","1940-1944",716,2469
" "," "," "," ","1945-1949",895,3247
" "," "," "," ","1950-1954",1103,4560
" "," "," "," ","1955-1959",1337,4741
" "," "," "," ","1960-1964",2610,8272
" "," "," "," ","1965-1969",2385,10567
" "," "," "," ","1970-1974",6922,11957
" "," "," "," ","1975-1979",11271,8896
" "," "," "," ","1980-1984",7351,3702
" "," "," "," ","1985-1989",6874,2821
" "," "," "," ","1990-1994",1164,904
" "," "," "," ","1995-1999",666,2346
" "," "," "," ","2000-2004",571,3549
" "," "," "," ","2005-2009",469,6177
" "," "," "," ","2010-2014",109,5737
" "," "," "," ","2015-2019",67,7633
" "," "," "," ","2020 -",82,11046

