"Bygninger og deres opvarmede areal efter opvarmingsform, enhed, omr�de,"
"anvendelse og tid"

" "," "," "," ","2025"
"Varmepumpe"
" ","Kvadratmeter (1000 m2)"
" "," ","Hele landet"
" "," "," ","Stuehuse til landbrugsejendomme",6526
" "," "," ","Parcelhuse",25126
" "," "," ","R�kke-, k�de- og dobbelthuse",2321
" "," "," ","Etageboliger",734
" "," "," ","Kollegier",22
" "," "," ","D�gninstitutioner",207
" "," "," ","Anden hel�rsbeboelse",181
" "," "," ","Avls- og driftsbygning",961
" "," "," ","Fabrikker, v�rksteder og lign.",1123
" "," "," ","El-,gas-,vand- og varmev�rker",134
" "," "," ","Anden bygning til produktion",1
" "," "," ","Transport- eller garageanl�g",91
" "," "," ","Bygninger til kontor, handel, lager, offentlig administration mv.",2906
" "," "," ","Bygninger anvendt til hotel, restauration, fris�r og lign.",294
" "," "," ","Uspec. transport og handel",1
" "," "," ","Bygninger anvendt til bibliotek, kirke, museum og lign.",274
" "," "," ","Bygninger anvendt til undervisning, forskning og lign.",442
" "," "," ","Bygninger anvendt til hospital, sygehus og lign.",21
" "," "," ","Bygninger anvendt til daginstitutioner",217
" "," "," ","Uspecificeret institution",8
" "," "," ","Sommerhuse",4416
" "," "," ","Uspecificeret ferieform�l",178
" "," "," ","Idr�tshaller,klubhuse",359
" "," "," ","Kolonihavehuse",93
" "," "," ","Uspecificeret fritidsform�l",88
" "," "," ","Garager",0
" "," "," ","Carporte",0
" "," "," ","Udhuse",0
" "," "," ","Under opf�relse, uoplyst",1623

